architecture,is_recommended_baseline,od_mm,od_in,shell_bore_id_mm,clear_id_mm,wall_mm,aerogel_mm,liner_mm,carrier_type,casing_material,liner_material,total_tool_length_mm,packaging_feasibility,strength_basis,strength_ratio_10mpa,fos_buckle_1000m,strength_ratio_20mpa,fos_buckle_20mpa,strength_ratio_10kpsi,fos_buckle_10kpsi,inner_shell_temp_2h_0w_C,inner_shell_temp_2h_1w_C,thermal_screening_status,overall_status
Architecture A: Inconel 718 + Discrete PEEK Carrier (3.5 mm Wall),True,44.45,1.75,37.45,37.45,3.5,0.0,0.0,Conformal Rails,Inconel718,PEEK,656.9,FEASIBLE (Direct circular fit inside shell bore with discrete PEEK carrier rails),YIELD,16.75,11.33,8.38,5.67,2.43,1.64,70.0,70.0,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,QUALIFIED PRELIMINARY SCREENING CANDIDATE (Packaging Feasible; Structural Conditional — Design Pressure Unresolved)
Architecture A (4.0 mm Wall): Inconel 718 + Discrete PEEK Carrier,False,44.45,1.75,36.45,36.45,4.0,0.0,0.0,Conformal Rails,Inconel718,PEEK,656.9,FEASIBLE (Direct circular fit inside shell bore with discrete PEEK carrier rails),YIELD,18.91,16.92,9.46,8.46,2.74,2.45,70.0,70.0,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,QUALIFIED PRELIMINARY SCREENING CANDIDATE (Packaging Feasible; Structural Conditional — Design Pressure Unresolved)
Architecture B: Inconel 718 + Discrete PPA Carrier (3.5 mm Wall),False,44.45,1.75,37.45,37.45,3.5,0.0,0.0,Conformal Rails,Inconel718,PPA_Amodel_A1133HS,656.9,FEASIBLE (Direct circular fit inside shell bore with discrete PPA carrier rails),YIELD,16.75,11.33,8.38,5.67,2.43,1.64,70.0,70.0,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,QUALIFIED PRELIMINARY SCREENING CANDIDATE (Packaging Feasible; Structural Conditional — Design Pressure Unresolved)
Architecture B2: Inconel 718 + Discrete PA66-GF30 Carrier (3.5 mm Wall),False,44.45,1.75,37.45,37.45,3.5,0.0,0.0,Conformal Rails,Inconel718,PA66_Ultramid_A3WG6_HRX,656.9,FEASIBLE (Direct circular fit inside shell bore with discrete PA66 carrier rails),YIELD,16.75,11.33,8.38,5.67,2.43,1.64,70.0,70.0,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,QUALIFIED PRELIMINARY SCREENING CANDIDATE (Packaging Feasible; Structural Conditional — Design Pressure Unresolved)
Architecture C: Inconel 718 + Full PEEK Liner (3.5 mm Wall),False,44.45,1.75,37.45,34.45,3.5,0.0,1.5,Full Liner,Inconel718,PEEK,656.9,INFEASIBLE (Clear ID 34.45 mm < 34.93 mm PCM1808 envelope),YIELD,16.75,11.33,8.38,5.67,2.43,1.64,70.0,70.09,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,INFEASIBLE (Board envelope exceeds usable diameter)
Architecture D: Inconel 718 + Full PPA Liner (3.5 mm Wall),False,44.45,1.75,37.45,34.45,3.5,0.0,1.5,Full Liner,Inconel718,PPA_Amodel_A1133HS,656.9,INFEASIBLE (Clear ID 34.45 mm < 34.93 mm PCM1808 envelope),YIELD,16.75,11.33,8.38,5.67,2.43,1.64,70.0,70.1,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,INFEASIBLE (Board envelope exceeds usable diameter)
Architecture D2: Inconel 718 + Full PA66-GF30 Liner (3.5 mm Wall),False,44.45,1.75,37.45,34.45,3.5,0.0,1.5,Full Liner,Inconel718,PA66_Ultramid_A3WG6_HRX,656.9,INFEASIBLE (Clear ID 34.45 mm < 34.93 mm PCM1808 envelope),YIELD,16.75,11.33,8.38,5.67,2.43,1.64,70.0,70.07,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,INFEASIBLE (Board envelope exceeds usable diameter)
Reference Baseline (Arch E): Inconel 718 + Aerogel + PEEK,False,44.45,1.75,37.45,30.0,3.5,2.225,1.5,Full Liner,Inconel718,PEEK,656.9,INFEASIBLE (Clear ID 30.00 mm < 34.93 mm PCM1808 envelope),YIELD,16.75,11.33,8.38,5.67,2.43,1.64,70.0,71.72,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,INFEASIBLE (Board envelope exceeds usable diameter)
Architecture F: PEEK-Only Pressure Casing (Exploratory),False,44.45,1.75,30.0,30.0,7.225,0.0,0.0,None,PEEK,PEEK,656.9,INFEASIBLE (Clear ID 30.00 mm < 34.93 mm PCM1808 envelope),TENSILE_STRENGTH_SCREENING,2.2,2.0,1.1,1.0,0.32,0.29,70.0,70.41,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,EXPLORATORY / CONDITIONAL (Polymer casing lacks certified downhole pressure integrity; design pressure unresolved)
Architecture G: PPA-Only Pressure Casing (Exploratory),False,44.45,1.75,30.0,30.0,7.225,0.0,0.0,None,PPA_Amodel_A1133HS,PPA_Amodel_A1133HS,656.9,INFEASIBLE (Clear ID 30.00 mm < 34.93 mm PCM1808 envelope),TENSILE_STRESS_AT_BREAK_SCREENING,5.69,6.42,2.84,3.21,0.83,0.93,70.0,70.46,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,EXPLORATORY / CONDITIONAL (Polymer casing lacks certified downhole pressure integrity; design pressure unresolved)
Architecture G2: PA66-GF30-Only Pressure Casing (Exploratory),False,44.45,1.75,30.0,30.0,7.225,0.0,0.0,None,PA66_Ultramid_A3WG6_HRX,PA66_Ultramid_A3WG6_HRX,656.9,INFEASIBLE (Clear ID 30.00 mm < 34.93 mm PCM1808 envelope),TENSILE_STRESS_AT_BREAK_SCREENING,3.46,3.22,1.73,1.61,0.5,0.47,70.0,70.33,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,EXPLORATORY / CONDITIONAL (Polymer casing lacks certified downhole pressure integrity; design pressure unresolved)
Architecture A: Inconel 718 + Discrete PEEK (OD 47.62 mm),False,47.625,1.875,40.62,40.62,3.5,0.0,0.0,Conformal Rails,Inconel718,PEEK,656.9,FEASIBLE (Direct circular fit inside shell bore with discrete PEEK carrier rails),YIELD,15.72,9.21,7.86,4.61,2.28,1.34,70.0,70.0,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,QUALIFIED PRELIMINARY SCREENING CANDIDATE (Packaging Feasible; Structural Conditional — Design Pressure Unresolved)
Architecture A: Inconel 718 + Discrete PEEK (OD 50.80 mm),False,50.8,2.0,43.8,43.8,3.5,0.0,0.0,Conformal Rails,Inconel718,PEEK,656.9,FEASIBLE (Direct circular fit inside shell bore with discrete PEEK carrier rails),YIELD,14.81,7.59,7.41,3.8,2.15,1.1,70.0,70.0,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,QUALIFIED PRELIMINARY SCREENING CANDIDATE (Packaging Feasible; Structural Conditional — Design Pressure Unresolved)
Architecture A: Inconel 718 + Discrete PEEK (OD 53.98 mm),False,53.975,2.125,46.98,46.98,3.5,0.0,0.0,Conformal Rails,Inconel718,PEEK,656.9,FEASIBLE (Direct circular fit inside shell bore with discrete PEEK carrier rails),YIELD,14.0,6.33,7.0,3.16,2.03,0.92,70.0,70.0,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,QUALIFIED PRELIMINARY SCREENING CANDIDATE (Packaging Feasible; Structural Conditional — Design Pressure Unresolved)
Architecture A: Inconel 718 + Discrete PEEK (OD 57.15 mm),False,57.15,2.25,50.15,50.15,3.5,0.0,0.0,Conformal Rails,Inconel718,PEEK,656.9,FEASIBLE (Direct circular fit inside shell bore with discrete PEEK carrier rails),YIELD,13.28,5.33,6.64,2.67,1.93,0.77,70.0,70.0,CONDITIONAL — INTERNAL THERMAL PATH UNRESOLVED,QUALIFIED PRELIMINARY SCREENING CANDIDATE (Packaging Feasible; Structural Conditional — Design Pressure Unresolved)
